experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E10,history_effect_supervisor,ALL,complete_or_compatible_partial,0.025,positive,0.24289896991103888,False,0.0175,0.025,0.03,0.0175,0.03,0.012499999999999997,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,DA,clinical_complete,0.01,positive,1.0,False,0.005,0.01,0.01,0.005,0.01,0.005,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,DA,compatible_partial,0.025,positive,0.603515625,False,0.015,0.025,0.03,0.015,0.03,0.015,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,DA,complete_or_compatible_partial,0.035,positive,0.28692626953125,False,0.02,0.035,0.04,0.02,0.04,0.02,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,MCR,clinical_complete,0.025,positive,0.90625,False,0.025,0.025,0.025,0.025,0.025,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,MCR,compatible_partial,-0.01,negative,1.0,False,-0.01,-0.01,-0.005,-0.01,-0.005,0.005,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,MCR,complete_or_compatible_partial,0.015,positive,1.0,False,0.015,0.015,0.02,0.015,0.02,0.005000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,ALL,clinical_complete,0.0025,positive,1.0,False,0.005,0.005,0.0025,0.0025,0.005,0.0025,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,ALL,compatible_partial,0.04,positive,0.009975671768188477,True,0.0475,0.045,0.0425,0.0425,0.0475,0.0049999999999999975,True,True,3,True,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,ALL,complete_or_compatible_partial,0.0425,positive,0.004541158676147461,True,0.0525,0.05,0.045,0.045,0.0525,0.0075,True,True,3,True,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,DA,clinical_complete,0.005,positive,1.0,False,0.01,0.005,0.005,0.005,0.01,0.005,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,DA,compatible_partial,0.055,positive,0.0576324462890625,False,0.065,0.06,0.065,0.06,0.065,0.0050000000000000044,True,True,3,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,DA,complete_or_compatible_partial,0.06,positive,0.022613525390625,True,0.075,0.065,0.07,0.065,0.075,0.009999999999999995,True,True,3,True,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,MCR,clinical_complete,0.0,zero,1.0,False,0.0,0.005,0.0,0.0,0.005,0.005,False,False,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,MCR,compatible_partial,0.025,positive,0.5,False,0.03,0.03,0.02,0.02,0.03,0.009999999999999998,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_isolated,MCR,complete_or_compatible_partial,0.025,positive,0.66827392578125,False,0.03,0.035,0.02,0.02,0.035,0.015000000000000003,True,True,0,False,model_reviewer_perturbation_not_root
