reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E5,add_sibling5,complete_or_compatible_partial,200,165,127,0.635,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_synonym5,clinical_complete,200,165,127,0.635,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_synonym5,compatible_partial,200,165,25,0.125,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_synonym5,complete_or_compatible_partial,200,165,152,0.76,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_unrelated5,clinical_complete,200,166,114,0.57,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_unrelated5,compatible_partial,200,166,26,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_unrelated5,complete_or_compatible_partial,200,166,140,0.7,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,base4,clinical_complete,200,200,149,0.745,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,base4,compatible_partial,200,200,23,0.115,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,base4,complete_or_compatible_partial,200,200,172,0.86,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width6,clinical_complete,200,166,101,0.505,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width6,compatible_partial,200,166,26,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width6,complete_or_compatible_partial,200,166,127,0.635,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width8,clinical_complete,200,164,90,0.45,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width8,compatible_partial,200,164,29,0.145,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,nested_width8,complete_or_compatible_partial,200,164,119,0.595,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,remove_non_gold3,clinical_complete,200,200,158,0.79,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,remove_non_gold3,compatible_partial,200,200,17,0.085,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,remove_non_gold3,complete_or_compatible_partial,200,200,175,0.875,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,flat_facts,clinical_complete,300,255,66,0.22,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,flat_facts,compatible_partial,300,255,65,0.21666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,flat_facts,complete_or_compatible_partial,300,255,131,0.43666666666666665,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,raw_vignette,clinical_complete,300,293,91,0.30333333333333334,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,raw_vignette,compatible_partial,300,293,84,0.28,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,raw_vignette,complete_or_compatible_partial,300,293,175,0.5833333333333334,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,typed_event_graph,clinical_complete,300,256,57,0.19,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,typed_event_graph,compatible_partial,300,256,66,0.22,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6,typed_event_graph,complete_or_compatible_partial,300,256,123,0.41,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6x,flat_facts_padded,clinical_complete,300,255,66,0.22,individual_blinded_model_reviewer_sensitivity_not_root
