case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
227,remain76,subdivide,0,1,0.5,2,5,1,1,1.0,0,0,,subdivide,3,B2.2,"B3.1,B4.2,B1.2,B2.2.L31,B2.2.L32","B3.1,B4.2,B1.2,B2.2.L31,B2.2.L32"
228,remain76,subdivide,1,1,1.0,1,9,1,1,1.0,0,0,,subdivide,12,"B2.1,B1.1,B4.1","B2.1.L31,B2.1.L32,B2.1.L33,B2.1.L34,B1.1.L31","B2.1.L31,B2.1.L32,B2.1.L33,B2.1.L34,B1.1.L31"
229,remain76,subdivide,0,0,0.0,1,,0,0,0.0,0,0,,calibrate_only,,,"B2.1,B1.1,B5.3,B3.6,B4.3","B2.1,B1.1,B5.3,B3.6,B4.3"
231,remain76,subdivide,0,0,0.0,4,,0,0,0.0,0,0,,subdivide,6,"B1.2,B5.1,B3.1","B1.2.L31,B1.2.L32,B2.1,B4.2,B5.1.L31","B1.2.L31,B1.2.L32,B2.1,B4.2,B5.1.L31"
233,remain76,subdivide,0,1,0.5,2,4,0,1,0.5,0,0,,calibrate_only,,,"B2.1,B3.1,B4.1,B1.2,B5.1","B2.1,B3.1,B4.1,B1.2,B5.1"
237,remain76,subdivide,1,1,1.0,1,10,1,1,1.0,0,0,,subdivide,12,"B5.1,B4.1,B1.1,B3.1","B5.1.L31,B5.1.L32,B5.1.L33,B4.1.L31,B4.1.L32","B5.1.L31,B5.1.L32,B5.1.L33,B4.1.L31,B4.1.L32"
241,remain76,subdivide,0,0,0.0,3,,0,0,0.0,0,0,,calibrate_only,,,"B1.1,B4.2,B3.2,B2.11","B1.1,B4.2,B3.2,B2.11"
242,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B2.4,B3.1,B1.1,B5.1,B4.1","B2.4,B3.1,B1.1,B5.1,B4.1"
243,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.2,B4.2,B2.3,B3.4","B1.2,B4.2,B2.3,B3.4"
246,remain76,subdivide,0,1,0.5,2,3,0,1,0.5,0,0,,calibrate_only,,,"B4.4,B1.2,B3.3,B2.1","B4.4,B1.2,B3.3,B2.1"
249,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,subdivide,3,B2.2,"B2.2.L31,B2.2.L32,B2.2.L33,B1.3,B3.1","B2.2.L31,B2.2.L32,B2.2.L33,B1.3,B3.1"
